State,District,Latitude,Longitude,Population,Male,Female,Male_Literate,Female_Literate,Households_with_Internet,Housholds_with_Electric_Lighting,Hindus,Sex Ratio,Literacy Rate
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,2663629,1351574,1312055,932474,664086,8566,519704,2540763,97,60
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,381956,192764,189192,155599,132021,1574,79146,371973,98,75
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,2663629,1351574,1312055,932474,664086,8566,519704,2540763,97,60
Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348,799781,397897,401884,303924,242909,1016,148926,777188,101,68
Chhattisgarh,Durg,21.194463849287164,81.33181639511197,3343872,1682101,1661771,1284612,1018766,16141,614109,3129745,99,69
Chhattisgarh,Jashpur,22.77286167664669,83.8703962075848,851669,424747,426922,280656,214759,567,76783,629509,101,58
Chhattisgarh,Korba,22.491712499999995,82.57604326923074,1206640,612915,593725,433391,315368,4544,202380,1133176,97,62
Chhattisgarh,Koriya,23.50412776859501,82.12515636363635,658917,334737,324180,229923,167900,1667,80023,604259,97,60
Chhattisgarh,Mahasamund,21.223727037773354,82.65925427435384,1032754,511967,520787,364089,273874,961,212487,1008061,102,62
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,1493984,750278,743706,542756,408883,3342,297308,1422986,99,64
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,2634200,1344345,1289855,1059692,880302,38570,547206,2239370,96,74
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,1493984,750278,743706,542756,408883,3342,297308,1422986,99,64
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,2634200,1344345,1289855,1059692,880302,38570,547206,2239370,96,74
Chhattisgarh,Raipur,20.88603153846152,82.20032759615388,4063872,2048186,2015686,1493158,1136591,20261,728556,3881485,98,65
Chhattisgarh,Surguja,23.32719278728607,83.23582493887531,2359886,1193129,1166757,694686,493255,2737,253131,2126195,98,50
Daman and Diu,Daman,20.431616666666677,72.8392366071429,191173,124659,66514,104316,46032,1316,49249,171537,53,79
Daman and Diu,Junagadh,20.72568199498111,70.83985639899612,2743082,1404356,1338726,1046981,795837,6628,498326,2397056,95,67
Gujarat,Junagadh,20.929523011609785,70.54733890140345,2743082,1404356,1338726,1046981,795837,6628,498326,2397056,95,67
Goa,North Goa,15.548723418714054,73.80667997909038,818008,416677,401331,351738,311322,23440,173951,622213,96,81
Goa,South Goa,15.195278658183785,73.941792596877,640537,322463,318074,264085,238342,17624,138810,341664,99,78
Gujarat,Ahmadabad,22.605425564971743,72.23898135593227,7214225,3788051,3426174,3025463,2410297,126341,1456046,6042416,90,75
Gujarat,Amreli,21.04832649310872,71.43457637825426,1514190,771049,743141,558180,437279,2538,273331,1410463,96,66
Gujarat,Anand,22.282718206229863,72.57782051557454,2092745,1087224,1005521,874481,676772,9902,378310,1798794,92,74
Gujarat,Banas Kantha,24.258538965517253,71.93205252873561,3120506,1610379,1510127,1048402,656521,3424,396873,2890305,94,55
Gujarat,Bharuch,21.75787276237761,72.67326346710801,1551019,805707,745312,623047,495229,10257,309091,1188204,93,72
Gujarat,Bhavnagar,21.70219390341736,72.16272632761141,2880365,1490201,1390164,1087371,799884,7297,500757,2632574,93,66
Gujarat,Gandhinagar,23.193679790026252,72.67221679790026,1391753,723864,667889,582686,447808,12107,262539,1319586,92,74
Gujarat,Jamnagar,22.410600414263328,69.62062005768233,2160119,1114192,1045927,795140,601394,11573,386538,1810443,94,65
Gujarat,Kachchh,23.48057203301311,68.82192301497916,2092371,1096737,995634,739239,513080,9631,403294,1608921,91,60
Gujarat,Kheda,22.88765312500002,73.018803515625,2299885,1185727,1114158,942480,717763,5710,372226,2000884,94,72
Gujarat,Mahesana,23.529355452865065,72.45545194085031,2035064,1056520,978544,847499,655146,7759,385609,1885732,93,74
Gujarat,Narmada,21.70666386292833,73.68403208722742,590297,301086,289211,211767,158569,576,101940,559848,96,63
Gujarat,Navsari,20.866973318871995,72.86184869848157,1329672,678165,651507,539471,462438,6726,267679,1225087,96,75
Gujarat,Panch Mahals,22.80435606837605,73.61984598290586,2390776,1226961,1163815,858054,582751,3456,398937,2220974,95,60
Gujarat,Patan,23.80634198473284,71.75162977099237,1343734,694397,649337,494631,343282,2231,223424,1194745,94,62
Gujarat,Porbandar,21.55092351651571,69.71896987722886,585449,300209,285240,221621,172057,1653,117040,549749,95,67
Gujarat,Rajkot,22.40603377715488,70.83679439383323,3804558,1974445,1830113,1514075,1210981,21785,747352,3397406,93,72
Gujarat,Sabar Kantha,23.71803594548552,73.13638790459964,2428589,1244231,1184358,918625,660109,5262,438606,2260560,95,65
Gujarat,Surat,21.25761372772093,72.93488716344339,6081322,3402224,2679098,2687468,1883942,55694,1252452,5260193,79,75
Gujarat,Surendranagar,22.82672007299272,71.48358740875906,1756268,909917,846351,643221,450405,2975,302068,1620282,93,62
Gujarat,The Dangs,20.801633877551023,73.6883518367347,228291,113821,114470,77314,63654,137,29794,203545,101,62
Gujarat,Vadodara,22.26133739279589,73.49433010291594,4165626,2153736,2011890,1614087,1278993,53606,798277,3713941,93,69
Gujarat,Valsad,20.44238231644259,72.9148584798345,1705678,887222,818456,655528,515129,11020,329218,1571147,92,69
Haryana,Ambala,30.3503672316384,76.94970310734456,1128350,598703,529647,461288,356737,12899,199681,955096,88,72
